restaurant_name,online_order,book_table,rating,votes,phone,location,restaurant_type,dish_liked,cuisines,approx_cost_for_two,listed_in_type,listed_in_city,pricing_segment,rating_category
Jalsa,Yes,Yes,4.1,775,"080 42297555
+91 9743772233",Banashankari,Casual Dining,"Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup","North Indian, Mughlai, Chinese",800,Buffet,Banashankari,Premium,Excellent
Spice Elephant,Yes,No,4.1,787,080 41714161,Banashankari,Casual Dining,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani","Chinese, North Indian, Thai",800,Buffet,Banashankari,Premium,Excellent
San Churro Cafe,Yes,No,3.8,918,+91 9663487993,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800,Buffet,Banashankari,Premium,Good
Addhuri Udupi Bhojana,No,No,3.7,88,+91 9620009302,Banashankari,Quick Bites,Masala Dosa,"South Indian, North Indian",300,Buffet,Banashankari,Budget,Good
Grand Village,No,No,3.8,166,"+91 8026612447
+91 9901210005",Basavanagudi,Casual Dining,"Panipuri, Gol Gappe","North Indian, Rajasthani",600,Buffet,Banashankari,Mid,Good
Timepass Dinner,Yes,No,3.8,286,"+91 9980040002
+91 9980063005",Basavanagudi,Casual Dining,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",North Indian,600,Buffet,Banashankari,Mid,Good
Onesta,Yes,Yes,4.6,2556,"080 48653961
080 48655715",Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600,Cafes,Banashankari,Mid,Excellent
Penthouse Cafe,Yes,No,4.0,324,"+91 8884135549
+91 9449449316",Banashankari,Cafe,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches","Cafe, Italian, Continental",700,Cafes,Banashankari,Mid,Good
Smacznego,Yes,No,4.2,504,"+91 9945230807
+91 9743804471",Banashankari,Cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",550,Cafes,Banashankari,Mid,Excellent
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1,402,"080 26724489
+91 7406048982",Banashankari,Cafe,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Cafe,500,Cafes,Banashankari,Mid,Excellent
Cafe Shuffle,Yes,Yes,4.2,150,+91 9742166777,Banashankari,Cafe,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos","Cafe, Italian, Continental",600,Cafes,Banashankari,Mid,Excellent
The Coffee Shack,Yes,Yes,4.2,164,+91 9731644212,Banashankari,Cafe,"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread","Cafe, Chinese, Continental, Italian",500,Cafes,Banashankari,Mid,Excellent
Caf-Eleven,No,No,4.0,424,080 49577715,Banashankari,Cafe,"Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino","Cafe, Continental",450,Cafes,Banashankari,Mid,Good
San Churro Cafe,Yes,No,3.8,918,+91 9663487993,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800,Cafes,Banashankari,Premium,Good
Cafe Vivacity,Yes,No,3.8,90,"080 26768182
+91 9845704455",Banashankari,Cafe,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,650,Cafes,Banashankari,Mid,Good
Catch-up-ino,Yes,No,3.9,133,"+91 9972988038
+91 9900121238",Banashankari,Cafe,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi","Cafe, Fast Food, Continental, Chinese, Momos",800,Cafes,Banashankari,Premium,Good
Kirthi's Biryani,Yes,No,3.8,144,"080 26711554
+91 9741406338",Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700,Cafes,Banashankari,Mid,Good
T3H Cafe,No,No,3.9,93,+91 8884726600,Banashankari,Cafe,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata","Cafe, Italian, American",300,Cafes,Banashankari,Budget,Good
The Vintage Cafe,Yes,No,3.0,62,"+91 9880016665
+91 8217311687",Banashankari,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",400,Cafes,Banashankari,Mid,Average
Woodee Pizza,Yes,No,3.7,180,+91 7406822844,Banashankari,Cafe,"Pizza, Garlic Bread","Cafe, Pizza, Fast Food, Beverages",500,Cafes,Banashankari,Mid,Good
My Tea House,Yes,No,3.6,62,"080 65975430
+91 7337733798",Banashankari,"Quick Bites, Cafe","Pasta, Iced Tea","Italian, Fast Food, Cafe, European",600,Cafes,Banashankari,Mid,Good
Srinathji's Cafe,No,No,3.8,148,"080 26600704
+91 9342593424",Basavanagudi,"Casual Dining, Cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",550,Cafes,Banashankari,Mid,Good
Redberrys,Yes,No,4.0,219,+91 9148421256,Basavanagudi,Cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",600,Cafes,Banashankari,Mid,Good
Foodiction,Yes,No,2.8,506,+91 9916107070,Banashankari,Quick Bites,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani","North Indian, Fast Food, Chinese, Burger",500,Delivery,Banashankari,Mid,Average
Ovenstory Pizza,Yes,No,3.9,172,+91 7738383000,Banashankari,Delivery,"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza",Pizza,750,Delivery,Banashankari,Premium,Good
Faasos,Yes,No,4.2,415,+91 7700020020,Banashankari,Quick Bites,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap","North Indian, Biryani, Fast Food",500,Delivery,Banashankari,Mid,Excellent
Behrouz Biryani,Yes,No,3.9,230,"+91 7022260661
+91 7022260662",Banashankari,Delivery,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",Biryani,650,Delivery,Banashankari,Mid,Good
Szechuan Dragon,Yes,No,4.2,1647,"00 919663567711
+91 9916326323",Banashankari,Casual Dining,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken","Chinese, Thai, Momos",600,Delivery,Banashankari,Mid,Excellent
Empire Restaurant,Yes,No,4.4,4884,080 49653266,Jayanagar,Casual Dining,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice","North Indian, Mughlai, South Indian, Chinese",750,Delivery,Banashankari,Premium,Excellent
Chaatimes,Yes,No,3.8,133,+91 8884232233,Basavanagudi,Quick Bites,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri","Street Food, Fast Food",200,Delivery,Banashankari,Budget,Good
McDonald's,Yes,No,3.9,286,"080 66000666
080 42005285",Banashankari,Quick Bites,"Burgers, Fries, Hot Chocolate","Burger, Fast Food",500,Delivery,Banashankari,Mid,Good
Domino's Pizza,Yes,No,3.9,540,"080 26710070
18602100000",Banashankari,Quick Bites,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos","Pizza, Fast Food",800,Delivery,Banashankari,Premium,Good
Onesta,Yes,Yes,4.6,2556,"080 48653961
080 48655715",Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600,Delivery,Banashankari,Mid,Excellent
Hotboxit,No,No,3.8,36,"+91 7026677677
+91 7026577577",Banashankari,Delivery,Prompt Service,"North Indian, Continental, Italian",400,Delivery,Banashankari,Mid,Good
Kitchen Garden,Yes,No,3.6,244,080 49652867,Kumaraswamy Layout,Quick Bites,Biryani,"North Indian, Chinese",300,Delivery,Banashankari,Budget,Good
Recipe,Yes,No,4.0,804,"+91 8043755256
+91 9886073774",Kumaraswamy Layout,Casual Dining,"Butter Chicken, Noodles, Thali, Biryani","North Indian, Chinese, Biryani, Rolls",450,Delivery,Banashankari,Mid,Good
Beijing Bites,Yes,No,3.7,679,"080 28606888
080 28606886",Rajarajeshwari Nagar,Casual Dining,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice","Chinese, Thai",850,Delivery,Banashankari,Premium,Good
Tasty Bytes,Yes,No,3.1,245,"+91 8553317408
+91 7899687127",Kumaraswamy Layout,Quick Bites,"Paratha, Pasta","North Indian, Chinese, Momos, Rolls",300,Delivery,Banashankari,Budget,Average
Corner House Ice Cream,No,No,4.3,345,"080 26713965
+91 9845444155",Banashankari,Dessert Parlor,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse","Ice Cream, Desserts",400,Delivery,Banashankari,Mid,Excellent
